Reg1,Reg2,Cat,Slope,p-value,CI,Significant
SBP_Distribution_STD,SBP_Error_STD,,0.46264589887753543,0.0028644523658418203,[0.16427219 0.76101961],True
SBP_Distribution_STD,SBP_Error_STD,Calibration_Technique,[7.68860394 0.4668264 ],[6.71015096e-05 8.53249608e-04],"[[ 4.0795649  11.29764299]
 [ 0.2000015   0.7336513 ]]",True
SBP_Distribution_STD,SBP_Error_STD,Algorithm,"[ -1.69083538  -1.28075991   3.10321111   5.90960379  -1.86603012
  -3.08769996  -1.82743492 -19.15224859   0.58243263]","[7.59523397e-01 8.16544385e-01 4.45149128e-02 3.01424444e-01
 7.35433619e-01 3.47220526e-01 4.53189665e-01 1.47588006e-03
 2.31676239e-04]","[[-12.68957444   9.30790368]
 [-12.27543008   9.71391026]
 [  0.07856821   6.12785401]
 [ -5.43092436  17.25013194]
 [-12.8611293    9.12906906]
 [ -9.60673157   3.43133165]
 [ -6.66890504   3.0140352 ]
 [-30.64658441  -7.65791277]
 [  0.28504901   0.87981624]]",False
SBP_Distribution_STD,SBP_Error_STD,Dataset,"[ 8.88895642 14.28989736  3.96083808 10.33265892 10.03465271  9.98098353
  9.21865267  9.17191065  8.83824456  0.24428028]","[0.09095664 0.03371525 0.23501706 0.11164044 0.00710911 0.1245497
 0.15565991 0.15806538 0.04443418 0.13495514]","[[-1.46145018 19.23936302]
 [ 1.13822272 27.441572  ]
 [-2.64500497 10.56668113]
 [-2.46935262 23.13467047]
 [ 2.83488292 17.2344225 ]
 [-2.83684432 22.79881138]
 [-3.60740896 22.0447143 ]
 [-3.66464046 22.00846175]
 [ 0.22727335 17.44921577]
 [-0.07823046  0.56679103]]",False
SBP_Distribution_STD,SBP_Error_STD,Testing_Subject_Characteristics,[-6.68840598 -4.03224724 -5.24566041  0.32067443],[5.89753451e-05 2.59484974e-02 5.28920095e-02 2.53984059e-02],"[[ -9.79644225  -3.58036972]
 [ -7.56552625  -0.49896823]
 [-10.55875087   0.06743006]
 [  0.04076661   0.60058225]]",False
SBP_Distribution_STD,SBP_Error_STD,Sensor_Data,"[ -1.4270379    0.03694803  -4.39535771  -3.99927975  -0.76962929
   0.29326805  -4.7756326   -6.48634313  -9.00732874  -8.56915324
  -8.47466659   0.14477194  -5.28294029  -0.1456642    4.93940208
  -7.98075053  -6.45194807   2.00735778 -13.90588406  -5.36841689
   0.33745231]","[0.8328776  0.99656974 0.53178144 0.52795182 0.91750101 0.96335946
 0.47496176 0.45279033 0.29662297 0.3226121  0.32766322 0.98653698
 0.5401146  0.98387959 0.56825776 0.35511092 0.38890451 0.81525046
 0.10978372 0.47197171 0.06313644]","[[-1.49507947e+01  1.20967189e+01]
 [-1.71530155e+01  1.72269116e+01]
 [-1.84264729e+01  9.63575750e+00]
 [-1.66472543e+01  8.64869477e+00]
 [-1.56304876e+01  1.40912290e+01]
 [-1.24757311e+01  1.30622672e+01]
 [-1.81101548e+01  8.55888958e+00]
 [-2.37159897e+01  1.07433034e+01]
 [-2.61706169e+01  8.15595946e+00]
 [-2.58089138e+01  8.67060733e+00]
 [-2.57051067e+01  8.75577350e+00]
 [-1.70158134e+01  1.73053573e+01]
 [-2.24970689e+01  1.19311883e+01]
 [-1.45654140e+01  1.42740856e+01]
 [-1.23450663e+01  2.22238704e+01]
 [-2.51657827e+01  9.20428164e+00]
 [-2.13715658e+01  8.46766968e+00]
 [-1.51713646e+01  1.91860802e+01]
 [-3.10658189e+01  3.25405077e+00]
 [-2.02565896e+01  9.51975579e+00]
 [-1.92112044e-02  6.94115823e-01]]",False
SBP_Distribution_STD,DBP_Error_STD,,0.20196457053310574,0.3506071392226304,[-0.22690119  0.63083034],False
SBP_Distribution_STD,DBP_Error_STD,Calibration_Technique,[8.01993457 0.28638806],[1.13658062e-04 1.45273432e-01],"[[ 4.11902982 11.92083931]
 [-0.10156778  0.6743439 ]]",False
SBP_Distribution_STD,DBP_Error_STD,Algorithm,"[ -0.89428994  -1.62426588   3.78700134  10.40332405  -2.29730444
  -2.13563976  -0.29354449 -20.59585963   0.57974292]","[0.88070543 0.78435571 0.02487237 0.08402375 0.69878769 0.62012914
 0.90943297 0.00330432 0.01555948]","[[-12.76656998  10.97799011]
 [-13.44741515  10.19888338]
 [  0.49541391   7.07858876]
 [ -1.44149044  22.24813855]
 [-14.11910682   9.52449793]
 [-10.71170693   6.44042742]
 [ -5.43504644   4.84795747]
 [-34.05310022  -7.13861904]
 [  0.11409806   1.04538779]]",False
SBP_Distribution_STD,DBP_Error_STD,Dataset,"[1.04956085e+01 1.66151228e+01 3.87996409e+00 9.75868302e+00
 1.06985578e+01 9.24288527e+00 8.42336158e+00 1.00737653e+01
 1.00667286e+01 8.40370076e-03]","[0.07462054 0.01457547 0.25825765 0.14291088 0.00516191 0.16443716
 0.20652962 0.13039544 0.02441291 0.97058553]","[[-1.07665937 22.06787634]
 [ 3.4080424  29.82220326]
 [-2.92250619 10.68243437]
 [-3.39399973 22.91136576]
 [ 3.33158977 18.06552588]
 [-3.8964909  22.38226144]
 [-4.77562991 21.62235306]
 [-3.06900647 23.2165371 ]
 [ 1.34690397 18.7865532 ]
 [-0.4458302   0.46263761]]",False
